device_id,dns_server,domain_name,dns_type,vrf,lookup_enabled,description,source_file
nrr_ext_sama_fw001,10.0.10.10,,primary,,yes,Primary DNS server,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_sama_fw001,10.11.11.10,,secondary,,yes,Secondary DNS server,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,10.0.10.10,,primary,,yes,Primary DNS server,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,10.11.11.10,,secondary,,yes,Secondary DNS server,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_ext_fw001,10.0.10.10,,primary,,yes,Primary DNS server,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_ext_ext_fw001,10.11.11.10,,secondary,,yes,Secondary DNS server,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_oob_agg_fw001,10.0.10.10,,primary,,yes,Primary DNS server,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,10.11.11.10,,secondary,,yes,Secondary DNS server,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_wan_agg_fw001,10.0.10.10,,primary,,yes,Primary DNS server,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,10.11.11.10,,secondary,,yes,Secondary DNS server,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
uat_pa_backup,10.11.3.239,,primary,,yes,Primary NTP/DNS server,configs/UAT-PA-Backup
uat_pa_backup,10.0.3.52,,secondary,,yes,Secondary NTP/DNS server,configs/UAT-PA-Backup
uat_pa_internet_backup,10.11.3.239,,primary,,yes,Primary NTP/DNS server,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,10.0.3.52,,secondary,,yes,Secondary NTP/DNS server,configs/UAT-PA-Internet-Backup 
