device_id,zone_name,interfaces_list,inspection_profile,source_file
NRR-EXT-EXT-FW001_d41d8cd9,EXTBR-R-zone,3350-ARI-TAK,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-TAD-FW001_d41d8cd9,EXT-TADBR,3359-EXT-TADBR,,configs\NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
NRR-EXT-TAD-FW001_d41d8cd9,TADAWUL_INSIDE,3305-COR-SW,,configs\NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
NRR-WAN-AGG-FW001_d41d8cd9,WAN,3320-WAN-GM,,configs\NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
NRR-WAN-AGG-FW001_d41d8cd9,Cisco-SD-WAN,SD-WAN-Cisco-1,,configs\NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
NRR-WAN-AGG-FW001_d41d8cd9,Huawei SD-WAN,Huawei-SDWAN,,configs\NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
uat_ig_fw001,vsys1,,Virtual System: vsys1,configs\UAT-PA-Internet-Backup
